lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Opatija",156 m2,1.307.999 €,79.56 km,16.08.2025
"Istrska, Umag",91.8 m2,763.420 €,98.89 km,16.08.2025
"Istrska, Buje",300 m2,309.000 €,93.25 km,16.08.2025
"Primorsko-goranska, Opatija",77.09 m2,753.680 €,79.70 km,16.08.2025
"Istrska, Umag",57 m2,296.000 €,98.74 km,16.08.2025
"Istrska, Umag",200 m2,750.000 €,98.66 km,16.08.2025
"Istrska, Umag",65.85 m2,255.000 €,98.84 km,16.08.2025
"Istrska, Umag",71.68 m2,369.000 €,98.82 km,16.08.2025
"Istrska, Pazin",610 m2,1.200.000 €,98.51 km,16.08.2025
"Bovec, Bovec",82.5 m2,240.000 €,78.55 km,16.08.2025
"Koper, Koper",46 m2,194.000 €,80.43 km,16.08.2025
"Istrska, Umag",43.55 m2,249.000 €,98.79 km,16.08.2025
"Istrska, Umag",90.61 m2,525.000 €,98.77 km,16.08.2025
"Bohinj, Ribčev Laz",1 m2,Cena po dogovoru,56.25 km,16.08.2025
"Piran, Lucija",25 m2,Cena po dogovoru,90.83 km,16.08.2025
"Koper, Koper",36 m2,650 €,80.66 km,16.08.2025
"Šentjur, Šentjur",310 m2,360.000 €,72.64 km,16.08.2025
"Kranjska Gora, Kranjska Gora",42.6 m2,250.000 €,73.07 km,16.08.2025
"Istrska, Umag",80 m2,257.000 €,98.81 km,16.08.2025
"Istrska, Umag",52 m2,215.000 €,98.86 km,16.08.2025
"Istrska, Umag",38 m2,185.000 €,98.72 km,16.08.2025
"Istrska, Umag",53 m2,210.000 €,98.67 km,16.08.2025
"Istrska, Umag",53 m2,205.000 €,98.63 km,16.08.2025
"Istrska, Umag",64 m2,220.000 €,98.64 km,16.08.2025
"Primorsko-goranska, Crikvenica",63.88 m2,350.000 €,96.30 km,16.08.2025
"Primorsko-goranska, Rijeka",47.65 m2,149.000 €,77.67 km,16.08.2025
"Primorsko-goranska, Opatija",60 m2,199.000 €,79.57 km,16.08.2025
"Primorsko-goranska, Opatija - Okolica",133.52 m2,500.000 €,80.63 km,16.08.2025
"Primorsko-goranska, Rijeka",105.2 m2,295.000 €,77.58 km,16.08.2025
"Primorsko-goranska, Crikvenica",150.69 m2,363.500 €,96.21 km,16.08.2025
"Primorsko-goranska, Kraljevica",81.8 m2,250.000 €,87.56 km,16.08.2025
"Primorsko-goranska, Lokve",280 m2,350.000 €,75.26 km,16.08.2025
"Primorsko-goranska, Opatija",156.35 m2,1.329.000 €,79.75 km,16.08.2025
"Primorsko-goranska, Opatija",156.35 m2,1.329.000 €,79.47 km,16.08.2025
"Primorsko-goranska, Opatija",128.32 m2,1.091.000 €,79.52 km,16.08.2025
"Primorsko-goranska, Opatija",128.49 m2,1.092.000 €,79.62 km,16.08.2025
"Primorsko-goranska, Opatija",178.98 m2,1.521.000 €,79.37 km,16.08.2025
"Istrska, Buje",140 m2,500.000 €,92.95 km,16.08.2025
"Istrska, Oprtalj",90 m2,630.000 €,88.17 km,16.08.2025
"Istrska, Grožnjan",130 m2,415.000 €,92.34 km,16.08.2025
"Primorsko-goranska, Vinodolska Općina",95 m2,104.000 €,94.35 km,16.08.2025
"Istrska, Umag",75 m2,282.000 €,98.86 km,16.08.2025
"Ljubljana, UKC",85 m2,1.000 €,3.18 km,15.08.2025
"Kozje, Vetrnik",100 m2,60.000 €,79.77 km,15.08.2025
"Primorsko-goranska, Opatija - Okolica",136.32 m2,750.000 €,80.80 km,15.08.2025
"Primorsko-goranska, Viškovo",119 m2,270.000 €,73.22 km,15.08.2025
"Primorsko-goranska, Crikvenica",26.95 m2,145.000 €,96.25 km,15.08.2025
"Primorsko-goranska, Crikvenica",87.87 m2,315.000 €,96.36 km,15.08.2025
"Primorsko-goranska, Klana",139 m2,135.000 €,65.14 km,15.08.2025
"Primorsko-goranska, Kostrena",125.48 m2,322.000 €,83.00 km,15.08.2025
"Primorsko-goranska, Kraljevica",85 m2,200.000 €,87.58 km,15.08.2025
"Primorsko-goranska, Opatija",128.32 m2,1.091.000 €,79.52 km,15.08.2025
"Primorsko-goranska, Opatija",128.44 m2,1.092.000 €,79.31 km,15.08.2025
"Primorsko-goranska, Crikvenica",250 m2,750.000 €,96.16 km,15.08.2025
"Primorsko-goranska, Crikvenica",270 m2,700.000 €,96.10 km,15.08.2025
"Istrska, Pula",58.49 m2,310.000 €,77.45 km,15.08.2025
"Primorsko-goranska, Opatija",197.33 m2,1.152.000 €,79.39 km,15.08.2025
"Primorsko-goranska, Opatija",103.33 m2,720.000 €,79.52 km,15.08.2025
"Primorsko-goranska, Opatija",148.14 m2,690.133 €,79.52 km,15.08.2025
"Primorsko-goranska, Opatija",158.12 m2,1.260.000 €,79.42 km,15.08.2025
"Primorsko-goranska, Opatija - Okolica",173.47 m2,675.000 €,80.73 km,15.08.2025
"Istrska, Pazin",110 m2,240.000 €,98.61 km,15.08.2025
"Istrska, Buzet",137 m2,230.000 €,82.58 km,15.08.2025
"Istrska, Buzet",386.56 m2,1.850.000 €,82.78 km,15.08.2025
"Primorsko-goranska, Opatija",67.41 m2,440.000 €,79.54 km,15.08.2025
"Logatec, Logatec",206.7 m2,Cena po dogovoru,24.66 km,15.08.2025
"Bled, Bohinjska Bela",28 m2,550 €,46.77 km,15.08.2025
"Bled, Bohinjska Bela",30 m2,600 €,46.77 km,15.08.2025
"Ljubljana Vič Rudnik, Rakovnik",60 m2,900 €,3.40 km,15.08.2025
"Celje, Celje",80.2 m2,179.000 €,62.52 km,15.08.2025
"Ljubljana Bežigrad, Ježica",68 m2,Cena po dogovoru,5.53 km,15.08.2025
"Istrska, Umag",51.01 m2,207.500 €,98.86 km,15.08.2025
"Primorsko-goranska, Opatija",214.29 m2,1.310.000 €,79.49 km,15.08.2025
"Primorsko-goranska, Opatija",104.14 m2,668.000 €,79.60 km,15.08.2025
"Primorsko-goranska, Opatija",143.52 m2,1.130.000 €,79.55 km,15.08.2025
"Primorsko-goranska, Opatija",104.17 m2,834.000 €,79.47 km,15.08.2025
"Primorsko-goranska, Lovran",300.06 m2,900.000 €,86.89 km,15.08.2025
"Primorsko-goranska, Opatija - Okolica",465 m2,882.000 €,80.95 km,15.08.2025
"Primorsko-goranska, Opatija - Okolica",85.6 m2,350.000 €,80.60 km,15.08.2025
"Istrska, Umag",78 m2,446.000 €,98.72 km,15.08.2025
"Primorsko-goranska, Rijeka",97 m2,330.000 €,77.63 km,15.08.2025
"Primorsko-goranska, Opatija",170.45 m2,650.000 €,79.53 km,15.08.2025
"Primorsko-goranska, Opatija",143.54 m2,901.000 €,79.29 km,15.08.2025
"Primorsko-goranska, Opatija",144.7 m2,1.213.000 €,79.50 km,15.08.2025
"Kranj, Zgornje Bitnje",75 m2,Cena po dogovoru,22.46 km,15.08.2025
"Domžale, Žeje",180 m2,490.000 €,16.30 km,15.08.2025
Italija,330 m2,60.000 €,82.96 km,15.08.2025
"Ljubljana Šiška, Zgornja Šiška",25 m2,630 €,3.48 km,15.08.2025
"Piran, Piran",22 m2,90.000 €,91.44 km,15.08.2025
"Dolenjske Toplice, Dolenjske Toplice",53 m2,90.000 €,54.95 km,15.08.2025
"Dol pri Ljubljani, Dol pri Ljubljani",243 m2,Cena po dogovoru,12.87 km,15.08.2025
"Gorje, Zgornje Gorje",20 m2,450 €,49.36 km,14.08.2025
"Gorje, Zgornje Gorje",50 m2,720 €,49.06 km,14.08.2025
"Gorje, Zgornje Gorje",50 m2,660 €,49.07 km,14.08.2025
"Celje, Gaberje",57 m2,115.000 €,64.31 km,14.08.2025
"Sevnica, Žirovnica",70 m2,130.000 €,53.34 km,14.08.2025
"Rogaška Slatina, Rogaška Slatina",28 m2,Cena po dogovoru,91.04 km,14.08.2025
"Primorsko-goranska, Fužine",200 m2,165.000 €,84.34 km,14.08.2025
"Istrska, Pazin - Okolica",200 m2,459.000 €,98.67 km,14.08.2025
"Istrska, Pazin",270 m2,726.500 €,98.55 km,14.08.2025
"Primorsko-goranska, Opatija",28 m2,500 €,79.47 km,14.08.2025
"Primorsko-goranska, Opatija",28 m2,500 €,79.65 km,14.08.2025
"Primorsko-goranska, Crikvenica",228 m2,860.000 €,96.21 km,14.08.2025
"Primorsko-goranska, Crikvenica",52.02 m2,170.000 €,96.20 km,14.08.2025
"Slovenska Bistrica, Slovenska Bistrica",110 m2,218.000 €,91.95 km,14.08.2025
"Primorsko-goranska, Crikvenica",91.02 m2,503.865 €,96.34 km,14.08.2025
"Primorsko-goranska, Crikvenica",150 m2,440.000 €,96.35 km,14.08.2025
"Primorsko-goranska, Kastav",73 m2,270.000 €,75.23 km,14.08.2025
"Primorsko-goranska, Kostrena",124 m2,332.000 €,83.12 km,14.08.2025
"Primorsko-goranska, Lovran",255 m2,2.370.000 €,86.85 km,14.08.2025
"Primorsko-goranska, Crikvenica",102 m2,100 €,96.12 km,14.08.2025
"Primorsko-goranska, Kraljevica",145 m2,710.000 €,87.54 km,14.08.2025
"Primorsko-goranska, Viškovo",82.75 m2,249.000 €,73.02 km,14.08.2025
"Primorsko-goranska, Vinodolska Općina",231.38 m2,240.000 €,93.97 km,14.08.2025
"Primorsko-goranska, Opatija",138.76 m2,1.280.000 €,79.61 km,14.08.2025
"Primorsko-goranska, Crikvenica",234.5 m2,1.537.500 €,96.21 km,14.08.2025
"Primorsko-goranska, Delnice",360 m2,175.000 €,70.37 km,14.08.2025
"Primorsko-goranska, Crikvenica",312 m2,500.000 €,96.33 km,14.08.2025
"Primorsko-goranska, Crikvenica",86.28 m2,420.000 €,96.37 km,14.08.2025
"Primorsko-goranska, Vinodolska Općina",140 m2,200.000 €,94.17 km,14.08.2025
"Primorsko-goranska, Crikvenica",88 m2,265.000 €,96.15 km,14.08.2025
"Primorsko-goranska, Crikvenica",40.29 m2,126.000 €,96.14 km,14.08.2025
"Primorsko-goranska, Viškovo",80 m2,187.000 €,73.09 km,14.08.2025
"Primorsko-goranska, Opatija",143 m2,100 €,79.33 km,14.08.2025
"Istrska, Pazin",110 m2,236.000 €,98.61 km,14.08.2025
"Primorsko-goranska, Crikvenica",64 m2,287.000 €,96.14 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",46 m2,231.000 €,80.80 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",400 m2,1.600.000 €,80.82 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",328 m2,1.000.000 €,80.69 km,14.08.2025
"Primorsko-goranska, Kostrena",196 m2,778.000 €,82.93 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",54 m2,265.000 €,80.87 km,14.08.2025
"Istrska, Buzet",126.3 m2,1.600.000 €,82.65 km,14.08.2025
"Primorsko-goranska, Omišalj",60.45 m2,275.000 €,93.93 km,14.08.2025
"Primorsko-goranska, Opatija",150 m2,550.000 €,79.54 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",127 m2,500.000 €,80.80 km,14.08.2025
"Sevnica, Sevnica",24 m2,380 €,63.16 km,14.08.2025
"Brda, Gonjače",75 m2,350.000 €,71.11 km,14.08.2025
"Primorsko-goranska, Crikvenica",44.61 m2,243.135 €,96.46 km,14.08.2025
"Primorsko-goranska, Kastav",73 m2,270.000 €,75.36 km,14.08.2025
"Primorsko-goranska, Mošćenička Draga",330 m2,1.952.000 €,94.23 km,14.08.2025
"Primorsko-goranska, Crikvenica",280 m2,720.000 €,96.21 km,14.08.2025
"Primorsko-goranska, Opatija",99 m2,499.000 €,79.51 km,14.08.2025
"Primorsko-goranska, Vinodolska Općina",95 m2,110.000 €,94.23 km,14.08.2025
"Primorsko-goranska, Lovran",140 m2,1.370.000 €,86.87 km,14.08.2025
"Primorsko-goranska, Bakar",155 m2,295.000 €,78.44 km,14.08.2025
"Primorsko-goranska, Vinodolska Općina",138.17 m2,250.000 €,94.28 km,14.08.2025
"Primorsko-goranska, Kraljevica",240 m2,1.144.000 €,87.59 km,14.08.2025
"Primorsko-goranska, Vinodolska Općina",178 m2,285.000 €,94.02 km,14.08.2025
"Ljubljana Bežigrad, Bežigrajski dvor",97.3 m2,2.500 €,3.03 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",150 m2,390.000 €,80.71 km,14.08.2025
"Primorsko-goranska, Rijeka",68 m2,260.000 €,77.54 km,14.08.2025
"Primorsko-goranska, Vrbovsko",150 m2,150.000 €,87.39 km,14.08.2025
"Istrska, Buje",52.81 m2,145.000 €,93.01 km,14.08.2025
"Primorsko-goranska, Rijeka",33.56 m2,290.000 €,77.52 km,14.08.2025
"Primorsko-goranska, Opatija",281.14 m2,800.000 €,79.62 km,14.08.2025
"Primorsko-goranska, Opatija",187.3 m2,600.000 €,79.51 km,14.08.2025
"Primorsko-goranska, Kastav",65.02 m2,170.000 €,75.00 km,14.08.2025
"Primorsko-goranska, Opatija",196 m2,2.000.000 €,79.71 km,14.08.2025
"Primorsko-goranska, Opatija - Okolica",115 m2,400.000 €,80.76 km,14.08.2025
"Istrska, Vižinada",270 m2,1.680.000 €,98.74 km,14.08.2025
"Istrska, Umag",225 m2,790.000 €,98.62 km,14.08.2025
"Istrska, Kršan",220 m2,1.650.000 €,97.91 km,14.08.2025
"Primorsko-goranska, Matulji",140 m2,390.000 €,72.18 km,14.08.2025
"Primorsko-goranska, Opatija",158.52 m2,1.264.000 €,79.55 km,14.08.2025
"Primorsko-goranska, Lovran",95.67 m2,395.000 €,87.08 km,14.08.2025
"Primorsko-goranska, Crikvenica",55.5 m2,184.000 €,96.15 km,14.08.2025
"Primorsko-goranska, Crikvenica",135 m2,467.000 €,96.17 km,14.08.2025
"Radlje ob Dravi, Radlje ob Dravi",113 m2,Cena po dogovoru,84.88 km,14.08.2025
"Radlje ob Dravi, Radlje ob Dravi",113 m2,Cena po dogovoru,84.88 km,14.08.2025
"Radovljica, Radovljica",228 m2,595.000 €,40.48 km,14.08.2025
"Sevnica, Sevnica",100 m2,750 €,62.95 km,13.08.2025
